time, pm2.5, pm10
2018-05-17 20:50:04.198944,46,48
2018-05-17 20:50:09.327141,43,45
2018-05-17 20:50:14.446807,38,40
2018-05-17 20:50:19.566537,39,41
2018-05-17 20:50:24.686152,39,41
2018-05-17 20:50:29.801308,36,38
2018-05-17 20:50:34.924078,38,40
2018-05-17 20:50:40.022270,41,43
2018-05-17 20:50:45.144757,37,39
2018-05-17 20:50:50.266058,34,36
2018-05-17 20:50:55.338214,36,38
2018-05-17 20:51:00.470897,39,41
2018-05-17 20:51:05.589052,38,40
2018-05-17 20:51:10.708642,35,37
2018-05-17 20:51:15.832653,37,39
2018-05-17 20:51:20.936409,45,47
2018-05-17 20:51:26.042366,54,56
2018-05-17 20:51:31.155261,58,60
2018-05-17 20:51:36.269126,54,56
2018-05-17 20:51:41.388651,48,50
2018-05-17 20:51:46.508971,47,49
2018-05-17 20:51:51.628825,49,51
2018-05-17 20:51:56.749672,49,51
2018-05-17 20:52:01.869703,48,50
2018-05-17 20:52:06.989318,50,52
2018-05-17 20:52:12.109536,50,52
2018-05-17 20:52:17.229851,49,51
2018-05-17 20:52:22.345084,52,54
2018-05-17 20:52:27.467830,54,56
2018-05-17 20:52:32.589625,51,53
2018-05-17 20:52:37.709898,44,46
2018-05-17 20:52:42.830522,43,45
2018-05-17 20:52:47.941620,45,47
2018-05-17 20:52:53.061659,46,48
2018-05-17 20:52:58.176631,46,48
2018-05-17 20:53:03.299266,45,47
2018-05-17 20:53:08.411029,45,47
2018-05-17 20:53:13.531380,45,47
2018-05-17 20:53:18.647074,43,45
2018-05-17 20:53:23.770000,42,44
2018-05-17 20:53:28.891448,40,42
2018-05-17 20:53:34.011810,39,41
2018-05-17 20:53:39.132168,41,43
2018-05-17 20:53:44.257989,42,44
2018-05-17 20:53:49.380988,40,42
2018-05-17 20:53:54.502865,43,45
2018-05-17 20:53:59.628639,47,49
2018-05-17 20:54:04.749873,44,46
2018-05-17 20:54:09.872635,42,44
2018-05-17 20:54:14.988605,41,43
2018-05-17 20:54:20.106939,42,44
2018-05-17 20:54:25.230239,46,48
2018-05-17 20:54:30.347620,48,50
2018-05-17 20:54:35.466611,48,50
2018-05-17 20:54:40.591240,47,49
2018-05-17 20:54:45.709204,47,49
2018-05-17 20:54:50.836153,49,51
2018-05-17 20:54:55.967449,47,49
2018-05-17 20:55:01.085276,43,45
2018-05-17 20:55:06.218335,43,45
2018-05-17 20:55:11.348534,45,47
2018-05-17 20:55:16.472228,43,45
2018-05-17 20:55:21.600536,44,46
2018-05-17 20:55:26.745121,48,50
2018-05-17 20:55:31.872239,49,51
2018-05-17 20:55:37.000329,46,48
2018-05-17 20:55:42.125057,45,47
2018-05-17 20:55:47.253101,44,46
2018-05-17 20:55:52.380120,45,47
2018-05-17 20:55:57.505338,48,50
